Pergunta;Resposta
"Olá";"Olá! Sou seu assistente de IA especializado na TSA e TGS.Como posso ajudar?"
"Bom dia";"Olá! Sou seu assistente de IA especializado na TSA e TGS.Como posso ajudar?"
"Boa tarde";"Olá! Sou seu assistente de IA especializado na TSA e TGS.Como posso ajudar?"
"Boa noite";"Olá! Sou seu assistente de IA especializado na TSA e TGS.Como posso ajudar?"
"Ei";"Olá! Sou seu assistente de IA especializado na TSA e TGS.Como posso ajudar?"
"Fala!";"Olá! Sou seu assistente de IA especializado na TSA e TGS.Como posso ajudar?"
"O que significa TGS?";"Teoria Geral dos Sistemas."
"O que significa TSA?";"Teoria dos Sistemas na Administração."
"Em que ano surgiu a Teoria dos Sistemas?";"A Teoria dos Sistemas surgiu em 1951."
"Qual a principal mudança trazida pela Teoria de Sistemas?";"A mudança do foco em sistemas fechados para sistemas abertos no estudo das organizações."
"O que é um sistema aberto?";"É um modelo de organização que interage com o ambiente e variáveis externas."
"O que é um sistema fechado?";"É um modelo mecanístico e determinístico onde a organização é concebida como um arranjo estático de peças."
"Qual teoria é considerada um modelo típico de sistema fechado?";"A Teoria da Burocracia."
"Quem introduziu o conceito de sistema aberto no estudo das organizações?";"Os estruturalistas introduziram este conceito a partir das limitações do modelo burocrático."
"O que são variáveis endógenas?";"São variáveis internas situadas dentro dos limites da organização."
"O que são variáveis exógenas?";"São variáveis situadas fora dos limites da empresa que influenciam sua estrutura e comportamento."
"Por que o estudo das variáveis internas é insuficiente?";"Porque apenas variáveis endógenas não proporcionam uma compreensão ampla da estrutura e comportamento organizacional."
"Como o ambiente influencia as empresas segundo a visão sistêmica?";"As características estruturais das empresas dependem das características ambientais que as circundam."
"Qual a relação entre empresas e ambientes?";"É uma relação de interação onde o ambiente explica aspectos da estrutura organizacional e dos processos operacionais."
"O que defende a Teoria da Contingência quanto à organização?";"Defende que não existe uma única 'melhor maneira' de organizar; tudo depende do ambiente."
"O que caracteriza uma empresa bem-sucedida na visão sistêmica?";"A capacidade de adaptar-se adequadamente às demandas ambientais."
"O que é a ênfase no ambiente?";"É a fase da administração em que gerir é lidar com demandas externas para obter máxima eficácia."
"Quem é o autor do livro 'A Quinta Disciplina'?";"Peter M. Senge."
"O que é a 'Quinta Disciplina' para Senge?";"É o pensamento sistêmico."
"O que é o pensamento sistêmico?";"Um modelo conceitual formado por conhecimentos e ferramentas para aperfeiçoar o aprendizado organizacional."
"Qual o conceito de 'organização que aprende' (learning organization)?";"Organizações que descobrem como explorar o potencial e a capacidade de aprender de pessoas em todos os níveis."
"Quais são as cinco disciplinas de Peter Senge?";"Maestria pessoal, modelos mentais, objetivos comuns, aprendizado em grupo e pensamento sistêmico."
"O que é Maestria Pessoal?";"Disciplina relacionada ao autoconhecimento."
"O que são Modelos Mentais?";"Imagens que influenciam o modo como as pessoas veem o mundo."
"O que é a disciplina de Objetivos Comuns?";"Trata da clareza e compartilhamento de metas na organização."
"O que é Aprendizado em Grupo?";"Desenvolvimento de habilidades coletivas e de ações coordenadas."
"Por que o aprendizado sistêmico é importante hoje?";"Devido à maior interligação do mundo e à complexidade dinâmica das empresas."
"Qual a crítica de Senge ao modelo tradicional de decisão?";"A ideia de que apenas uma pessoa no topo gera ideias e os outros seguem ordens."
"Onde ocorre o aprendizado mais importante segundo Senge?";"Na prática, não em sala de aula."
"O que é aprendizado social e ativo?";"É o aprendizado feito em grupo e em ação, considerado mais eficaz que o individual e passivo."
"Cite uma barreira sistêmica ao aprendizado.";"Comprometimento com a própria posição e falta de preocupação com o todo."
"Como a 'culpa de fatores externos' impede o aprendizado?";"Ao focar as falhas no governo ou concorrência, não se reconhece a necessidade de mudança interna."
"O que é o mito da proatividade para Senge?";"A atitude de atacar o ambiente externo sem reconhecer a necessidade de mudança interna."
"Como o imediatismo afeta o sistema?";"Causa a falta de visão de longo prazo necessária para a sobrevivência do sistema."
"O que é a 'não percepção de mudanças gradativas'?";"Incapacidade de ver mudanças lentas que podem se tornar grandes ameaças."
"O que é o mito do consenso na alta administração?";"A falsa impressão de união que pode esconder problemas sistêmicos."
"Qual a visão de Peter Drucker sobre a empresa na sociedade?";"A empresa é um órgão da sociedade encarregado de transformar recursos em produção organizada."
"Como a Teoria de Sistemas define a organização moderna?";"Como um conjunto de indivíduos e relações de interdependência com objetivos comuns."
"O que é administrar impactos sociais?";"Tarefa da administração de gerir os efeitos (como resíduos e autoridade) que a empresa causa na sociedade."
"Como a tecnologia se integra ao sistema organizacional?";"Ela molda a estrutura da empresa e acondiciona o seu funcionamento."
"O que é o imperativo tecnológico?";"É a influência da tecnologia na determinação da estrutura e dos processos da organização."
"O que é a abordagem integrada das variáveis administrativas?";"O desafio de adequar e integrar tarefas, estrutura, pessoas, ambiente, tecnologia e competitividade."
"O que é a visão holística na administração?";"Percepção da organização como um sistema total, onde o todo é maior que a soma das partes."
"Como a monografia descreve a evolução da administração?";"Como um processo lento e gradual que acompanha a história humana até se tornar ciência."
"O que é a racionalidade organizacional?";"Adequação dos meios para o alcance de determinados fins ou objetivos."
"Como a teoria estruturalista introduziu o sistema aberto?";"Através do estudo das limitações e rigidez do modelo burocrático mecanístico."
"O que é o 'homem social'?";"Um ser complexo condicionado por sistemas sociais e motivado por necessidades psicossociais."
"Como os valores individuais são derivados?";"Das necessidades sociais e transmitidos pelos sistemas sociais de que o indivíduo participa."
"O que é desenvolvimento organizacional (D.O.)?";"Estratégias de mudança planejada que incorporam a Teoria dos Sistemas."
"O que são técnicas de sensibilização?";"Ferramentas herdadas de Kurt Lewin para melhorar a eficácia sistêmica das empresas."
"Qual o papel do feedback (controle) no sistema administrativo?";"Garantir o progresso em direção aos objetivos de acordo com o planejado."
"Como o ex-presidente no estudo de caso usou o planejamento sistêmico?";"Definindo metas de impacto internacional para o meio ambiente na Rio+10."
"Qual a importância de objetivos claros no sistema público?";"Permitem alcançar resultados mesmo que de forma acelerada através das funções administrativas."
"O que o SNUC representa na gestão ambiental?";"Um sistema complexo com órgãos consultivos, centrais e executores."
"Qual a função do Ministério do Meio Ambiente no SNUC?";"Atuar como órgão central com a finalidade de coordenar o sistema."
"Qual a função do IBAMA no SNUC?";"Atuar como órgão executor para implementar o sistema e administrar unidades federais."
"O que caracteriza o Parque Nacional na visão sistêmica?";"É uma unidade de conservação com objetivos de preservação, pesquisa e turismo ecológico."
"Como a biodiversidade é tratada na administração florestal?";"Como um recurso a ser protegido e gerido através de zoneamentos e planos de manejo."
"O que é interdependência organizacional?";"A relação entre diferentes departamentos e níveis para atingir os objetivos da empresa."
"Qual o papel da comunicação no sistema humanista?";"Fundamental para a integração do indivíduo no grupo social e na organização."
"Como a liderança afeta o sistema social da empresa?";"Através da motivação e dinâmica de grupo para alcançar objetivos formais."
"O que é a organização informal?";"Rede de relações sociais não previstas na estrutura formal que influencia o desempenho."
"O que é a análise intra-organizacional?";"Foco nos elementos internos do sistema organizacional."
"O que é a análise interorganizacional?";"Foco nas relações entre diferentes sistemas ou organizações."
"Como a mutabilidade afeta as empresas modernas?";"Exige inovação e renovação contínua para sobreviver em ambientes de incerteza."
"O que é a sociedade do conhecimento?";"Contexto onde o conhecimento é a base para o sucesso pessoal e econômico do sistema."
"Como o capital intelectual é visto nas novas abordagens?";"Como um ativo fundamental para a competitividade do sistema organizacional."
"O que é o sistema de fluxos de Mintzberg?";"Estrutura focada na interação entre órgãos internos, não apenas na hierarquia."
"Por que Mintzberg critica o planejamento formal?";"Porque o mundo é instável e o planejamento analítico pode ignorar a intuição estratégica."
"O que é pensamento estratégico para Mintzberg?";"Um processo de síntese, intuição e criatividade que gera uma perspectiva integrada."
"O que é 'agir para pensar'?";"Experimentar ações cujos resultados convergem gradualmente para estratégias viáveis."
"O que é a visão integrada da empresa?";"Uma perspectiva de direção articulada resultante do pensamento estratégico."
"Qual o impacto das variáveis exógenas na estratégia?";"Elas forçam a adaptação contínua da empresa às demandas externas."
"O que é a abordagem de sistema aberto para os estruturalistas?";"Uma tentativa de unir contribuições clássicas e humanísticas sob uma nova ótica."
"Por que a administração é considerada uma ciência social?";"Porque lida com pessoas e organizações inseridas na sociedade."
"Como o sistema administrativo se adaptou à era moderna?";"Tornando-se o órgão encarregado de promover o progresso econômico organizado."
"Qual a relação entre planejamento e sistema?";"O planejamento estabelece o curso de ação para o sistema alcançar seus objetivos."
"Qual a relação entre organização e sistema?";"A organização arranja e relaciona o trabalho para o cumprimento eficaz das metas."
"Qual a relação entre direção e sistema?";"A direção provoca a ação intencional do sistema rumo aos objetivos."
"Qual a relação entre controle e sistema?";"O controle monitora e garante que o sistema siga o curso planejado."
"O que é a abordagem microscópica?";"Foco no nível individual/operário (Taylor), em contraste com a abordagem sistêmica."
"O que é a abordagem macroscópica?";"Foco na organização como um todo e sua relação com o ambiente."
"O que é a interteração sistema-ambiente?";"O intercâmbio constante de recursos e informações entre a organização e seu meio."
"O que é a eficácia sistêmica?";"A capacidade de atingir metas através da adaptação às mudanças ambientais."
"Qual a diferença entre eficácia e eficiência no sistema?";"Eficiência foca no uso dos meios (interno); eficácia foca nos resultados (relação com o externo)."
"Como a monografia descreve a empresa excelente?";"Como aquela que se adequa rapidamente às necessidades do mercado e clientes."
"O que é o autodesenvolvimento sistêmico?";"Processo que busca quebrar o controle rígido e encorajar a espontaneidade."
"O que é a dinâmica de grupo nas relações humanas?";"O estudo das interações sociais que compõem o sistema informal da empresa."
"Qual a visão de Ford sobre o sistema industrial?";"Foco na integração vertical e horizontal para produção em massa."
"O que é a integração vertical?";"Controle sobre o fornecimento de matérias-primas e produção final no mesmo sistema."
"O que é o equilíbrio do sistema organizacional?";"A harmonia entre os objetivos organizacionais e as necessidades individuais."
"Como o downsizing afeta o sistema?";"Cortes radicais que muitas vezes não melhoram o desempenho se não houver visão sistêmica."
"O que é a reengenharia?";"Reestruturação profunda de processos visando melhoria sistêmica imediata."
"O que são descontinuidades sistêmicas?";"Mudanças bruscas no ambiente (como ascensão de fundos de pensão) que exigem nova gestão."
"O que é o pós-capitalismo?";"Era onde os trabalhadores são donos do conhecimento, o ativo mais precioso do sistema."
"Como a educação contribui para o sistema organizacional?";"Ao certificar a aquisição de conhecimento necessária para o sucesso econômico."
"O que é a gestão por objetivos (APO)?";"Sistema onde metas específicas guiam o desempenho e a medição do sucesso."
"O que são órgãos da sociedade?";"Instituições como empresas e hospitais que existem para cumprir finalidades sociais."
"Qual a missão econômica da administração de empresas?";"Colocar o desempenho econômico em primeiro lugar em todas as decisões."
"Por que a gestão é considerada uma arte?";"Porque se alimenta de ciências como economia, psicologia, história e filosofia."
"O que é o pensamento sistêmico na prática?";"Entender como cada decisão afeta o todo da organização e sua relação com o ambiente."
"O que a Teoria de Sistemas substituiu?";"Substituiu a visão de sistema fechado pela de sistema aberto."
"Qual a data da Teoria dos Sistemas na monografia?";"Ano de 1951."
"Quais variáveis influenciam a estrutura organizacional?";"Variáveis exógenas (ambiente) e endógenas (internas)."
"O que é o meio ambiente organizacional?";"O conjunto de fatores exógenos que cercam e influenciam a empresa."
"O que Senge diz sobre o topo da organização?";"Diz que não é mais possível gerar ideias apenas no topo para que todos sigam."
"O que é a quinta disciplina para Peter Senge?";"O pensamento sistêmico."
"Quais são os pilares da organização que aprende?";"As cinco disciplinas de Peter Senge."
"O que é o aprendizado na prática?";"O método mais eficaz de aprendizado social e ativo."
"Como o imediatismo prejudica o sistema?";"Ao focar apenas no curto prazo, ignora mudanças lentas e letais."
